('二团', '血染胸毛', '盗贼', '头部', '血牙头巾', '16908', '+14 攻击强度，+12 躲闪', '2020-20')
('二团', '血染胸毛', '盗贼', '头部', '夜幕杀手头巾', '16821', '+20 火焰抗性', '2020-20')
('二团', '血染胸毛', '盗贼', '颈部', '普瑞斯托的阴谋饰物', '19377', '', '2020-20')
('二团', '血染胸毛', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('二团', '血染胸毛', '盗贼', '肩部', '夜幕杀手护肩', '16823', '+5 火焰抗性', '2020-20')
('二团', '血染胸毛', '盗贼', '肩部', '血牙肩甲', '16832', '+5 火焰抗性', '2020-20')
('二团', '血染胸毛', '盗贼', '胸部', '血牙胸甲', '16905', '+4 所有属性', '2020-20')
('二团', '血染胸毛', '盗贼', '腰部', '血牙腰带', '16910', '', '2020-20')
('二团', '血染胸毛', '盗贼', '腿部', '血牙短裤', '16909', '+14 攻击强度，+12 躲闪', '2020-20')
('二团', '血染胸毛', '盗贼', '脚', '暗影烈焰长靴', '19381', '+7 敏捷', '2020-20')
('二团', '血染胸毛', '盗贼', '脚', '熔岩犬皮靴', '16982', '+5 敏捷', '2020-20')
('二团', '血染胸毛', '盗贼', '腕部', '血牙护腕', '16911', '+9 力量', '2020-20')
('二团', '血染胸毛', '盗贼', '手', '古代熔火皮手套', '18823', '+10 急速', '2020-20')
('二团', '血染胸毛', '盗贼', '手指', '屠龙大师之戒', '19384', '', '2020-20')
('二团', '血染胸毛', '盗贼', '手指', '埃古雷亚指环', '17063', '', '2020-20')
('二团', '血染胸毛', '盗贼', '饰品', '毒性图腾', '19342', '', '2020-20')
('二团', '血染胸毛', '盗贼', '饰品', '正义之手', '11815', '', '2020-20')
('二团', '血染胸毛', '盗贼', '饰品', '闪耀徽章', '2802', '', '2020-20')
('二团', '血染胸毛', '盗贼', '饰品', '黑手饰物', '13965', '', '2020-20')
('二团', '血染胸毛', '盗贼', '饰品', '埃雷萨拉斯皇家徽记', '18465', '', '2020-20')
('二团', '血染胸毛', '盗贼', '背部', '火喉披风', '19398', '+3 敏捷', '2020-20')
('二团', '血染胸毛', '盗贼', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-20')
('二团', '血染胸毛', '盗贼', '主手武器', '毁灭之刃', '18816', '+5 武器伤害', '2020-20')
('二团', '血染胸毛', '盗贼', '副手', '熔火犬牙', '18805', '+15 敏捷', '2020-20')
('二团', '血染胸毛', '盗贼', '远程', '速射强弓', '17069', '', '2020-20')
('四团', '舞红袖', '术士', '头部', '密苏达尔，夺魂者的头饰', '19375', '+18 法术强度，+10 耐力', '2020-20')
('四团', '舞红袖', '术士', '颈部', '暗月宝珠', '19426', '', '2020-20')
('四团', '舞红袖', '术士', '肩部', '天国肩铠', '14316', '+18 法术强度', '2020-20')
('四团', '舞红袖', '术士', '衬衣', '紫色丝质衬衣', '4335', '', '2020-20')
('四团', '舞红袖', '术士', '胸部', '血藤外套', '19682', '+100 生命值', '2020-20')
('四团', '舞红袖', '术士', '腰部', '复仇腰带', '16933', '', '2020-20')
('四团', '舞红袖', '术士', '腿部', '血藤护腿', '19683', '+18 法术强度，+10 耐力', '2020-20')
('四团', '舞红袖', '术士', '脚', '血藤长靴', '19684', '+7 耐力', '2020-20')
('四团', '舞红袖', '术士', '腕部', '树妖的护腕', '19595', '+7 耐力', '2020-20')
('四团', '舞红袖', '术士', '手', '黑焰手套', '19407', '', '2020-20')
('四团', '舞红袖', '术士', '手指', '惩戒指环', '22721', '', '2020-20')
('四团', '舞红袖', '术士', '手指', '专注指环', '19403', '', '2020-20')
('四团', '舞红袖', '术士', '饰品', '短暂能量护符', '18820', '', '2020-20')
('四团', '舞红袖', '术士', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', '舞红袖', '术士', '背部', '吞噬披风', '19857', '+5 所有抗性', '2020-20')
('四团', '舞红袖', '术士', '背部', '奥妮克希亚鳞片披风', '15138', '+70 护甲', '2020-20')
('四团', '舞红袖', '术士', '主手武器', '碧空之歌', '17103', '+30 法术强度', '2020-20')
('四团', '舞红袖', '术士', '副手', '暗影力量宝典', '19309', '', '2020-20')
('四团', '舞红袖', '术士', '远程', '混乱之触', '19861', '', '2020-20')
('四团', '舞红袖', '术士', '远程', '风暴之怒', '16997', '', '2020-20')
('四团', '默許', '圣骑士', '头部', '审判头冠', '16955', '', '2020-20')
('四团', '默許', '圣骑士', '颈部', '生命项链', '18723', '', '2020-20')
('四团', '默許', '圣骑士', '肩部', '土渣护肩', '11632', '', '2020-20')
('四团', '默許', '圣骑士', '胸部', '秩序之源胸甲', '16853', '', '2020-20')
('四团', '默許', '圣骑士', '腰部', '赞达拉思考者腰带', '19826', '', '2020-20')
('四团', '默許', '圣骑士', '腿部', '审判腿铠', '16954', '', '2020-20')
('四团', '默許', '圣骑士', '脚', '秩序之源战靴', '16859', '', '2020-20')
('四团', '默許', '圣骑士', '腕部', '赞达拉思考者护臂', '19827', '', '2020-20')
('四团', '默許', '圣骑士', '手', '秩序之源护手', '16860', '', '2020-20')
('四团', '默許', '圣骑士', '手指', '始祖徽记', '19863', '', '2020-20')
('四团', '默許', '圣骑士', '手指', '屠龙者的徽记', '18403', '', '2020-20')
('四团', '默許', '圣骑士', '饰品', '埃雷萨拉斯皇家徽记', '18472', '', '2020-20')
('四团', '默許', '圣骑士', '饰品', '复苏之风', '11819', '', '2020-20')
('四团', '默許', '圣骑士', '背部', '哈卡莱血披风', '19870', '', '2020-20')
('四团', '默許', '圣骑士', '主手武器', '光环石锤', '17105', '', '2020-20')
('四团', '默許', '圣骑士', '副手', '生命花环', '19312', '', '2020-20')
('四团', '默許', '圣骑士', '远程', '埃根的冲击器', '13289', '', '2020-20')
('四团', '默許', '圣骑士', '公会徽章', '公会徽章', '5976', '', '2020-20')
('四团', '阿米驴', '战士', '头部', '狮心头盔', '12640', '+8 力量', '2020-20')
('四团', '阿米驴', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
