('二团', '怀恋翻车鱼', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-22')
('二团', '怀恋翻车鱼', '术士', '颈部', '黑暗顾问坠饰', '18691', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '肩部', '赞达拉恶魔师衬肩', '19849', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '衬衣', '红色冒险者衬衣', '6796', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '胸部', '血藤外套', '19682', '+100 生命值', '2020-22')
('二团', '怀恋翻车鱼', '术士', '腰部', '复仇腰带', '16933', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '腿部', '血藤护腿', '19683', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '脚', '血藤长靴', '19684', '+7 耐力', '2020-22')
('二团', '怀恋翻车鱼', '术士', '腕部', '赞达拉恶魔师裹带', '19848', '+7 耐力', '2020-22')
('二团', '怀恋翻车鱼', '术士', '手', '复仇手套', '16928', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '手指', '法术能量之戒', '19147', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '手指', '赞吉尔指环', '19905', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '饰品', '短暂能量护符', '18820', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '背部', '哈卡莱崇拜者披风', '22711', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '背部', '紫罗兰披风', '18496', '', '2020-22')
('二团', '怀恋翻车鱼', '术士', '主手武器', '统御法杖', '18842', '+30 法术强度', '2020-22')
('二团', '怀恋翻车鱼', '术士', '远程', '噬骨铁针', '13938', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '头部', '狼头之盔', '8345', '+10 急速', '2020-22')
('四团', 'Giroud', '德鲁伊', '颈部', '普瑞斯托的阴谋饰物', '19377', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '肩部', '深渊皮甲护肩', '20689', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '胸部', '玛法里奥的祝福', '19405', '+4 所有属性', '2020-22')
('四团', 'Giroud', '德鲁伊', '腰部', '防腐徽记腰带', '20216', '', '2020-22')
